EVENT_DATE,事件数,EVENT_TYPE,SUB_EVENT_TYPE,ADMIN1,ADMIN2,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,死亡人数
23-Aug-18,2,Protests,Peaceful protest,Fujian,Nanping,Wuyishan,27.757,118.035,1,0
23-Aug-18,2,Protests,Protest with intervention,Henan,Puyang,Wuba,36.065,116.057,1,0
23-Aug-18,1,Protests,Peaceful protest,Hunan,Changsha,Furong,28.185,113.032,1,0
23-Aug-18,1,Strategic developments,Change to group/activity,Xinjiang,Ili Kazak Autonomous,Yining City,43.946,81.691,1,0
23-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Jingyang,34.271,111.571,1,0
23-Aug-18,2,Protests,Peaceful protest,Hebei,Tangshan,Guye,39.734,118.448,1,0
23-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Zhengzhou,Zhongyuan,34.748,113.613,2,0
24-Aug-18,1,Protests,Protest with intervention,Sichuan,Chengdu,Jinniu,30.691,104.052,1,0
24-Aug-18,1,Protests,Peaceful protest,Henan,Xinyang,Xin,31.644,114.879,1,0
24-Aug-18,2,Protests,Peaceful protest,Fujian,Quanzhou,Fengze,24.891,118.613,2,0
24-Aug-18,1,Protests,Protest with intervention,Guangdong,Shenzhen,Shenzhen-Pingshan,22.686,114.364,1,0
24-Aug-18,1,Protests,Peaceful protest,Sichuan,Luzhou,Jiangyang,28.879,105.435,2,0
24-Aug-18,2,Protests,Peaceful protest,Anhui,Lu'an,Jin'an,31.75,116.539,2,0
24-Aug-18,1,Protests,Peaceful protest,Hebei,Tangshan,Lubei,39.624,118.201,2,0
24-Aug-18,1,Protests,Peaceful protest,Guangdong,Qingyuan,Qingcheng,23.717,113.03,2,0
24-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Madian,34.367,111.535,1,0
24-Aug-18,1,Strategic developments,Looting/property destruction,Gansu,Lanzhou,Chengguan,36.057,103.825,2,0
24-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Beijing,Fangshan,Fangshan,39.749,116.143,1,0
24-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Zhao,34.323,111.596,1,0
24-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Nanyang,Tanghe,32.697,112.841,1,0
24-Aug-18,1,Protests,Protest with intervention,Henan,Nanyang,Wolong,32.99,112.529,2,0
25-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Nanyang,Tongbai,32.367,113.406,1,0
25-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Shangqiu,Yongcheng,33.929,116.449,1,0
25-Aug-18,1,Riots,Mob violence,Hainan,Sanya,Dabuba,18.43,109.19,1,0
25-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Zhengzhou,Xinmi,34.54,113.391,1,0
26-Aug-18,1,Strategic developments,Arrests,Jiangxi,Jiujiang,De'an,29.314,115.758,1,0
26-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Nanyang,Tongzhaipu,32.799,112.726,1,0
26-Aug-18,2,Violence against civilians,Attack,Guangdong,Huizhou,Huicheng,23.084,114.382,2,0
26-Aug-18,1,Strategic developments,Other,Beijing,Beijing,Beijing,39.906,116.391,3,0
26-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Jiyuan,Jiyuan,35.067,112.602,2,0
26-Aug-18,2,Protests,Peaceful protest,Inner Mongolia,Hohhot,Saihan,40.792,111.702,1,0
27-Aug-18,2,Protests,Peaceful protest,Hebei,Tangshan,Lubei,39.624,118.201,2,0
27-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Henan,Nanyang,Tanghe,32.697,112.841,1,0
27-Aug-18,1,Protests,Protest with intervention,Henan,Zhengzhou,Xingyang,34.787,113.383,1,0
27-Aug-18,2,Protests,Peaceful protest,Henan,Zhengzhou,Xinzheng,34.396,113.74,1,0
27-Aug-18,1,Protests,Peaceful protest,Jiangsu,Nanjing,Xuanwu,32.048,118.798,2,0
27-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Nanyang,Xiaoding,32.71,112.117,1,0
27-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Shangqiu,Dingxinzhuang,33.995,116.141,1,0
27-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Beijing,Beijing,Beijing,39.906,116.391,3,0
28-Aug-18,1,Violence against civilians,Abduction/forced disappearance,Shanghai,Pudong New Area,Shanghai-Pudong New Area,31.112,121.719,1,0
28-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Jiaozuo,Zhuzhuang,35.168,113.316,1,0
28-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Jiaozuo,Nie,35.171,113.164,1,0
28-Aug-18,2,Strategic developments,Change to group/activity,Henan,Shangqiu,Zhutun,34.418,116.093,1,0
28-Aug-18,2,Protests,Peaceful protest,Henan,Nanyang,Wolong,32.99,112.529,2,0
28-Aug-18,2,Protests,Protest with intervention,Guangdong,Shenzhen,Shenzhen,22.595,114.067,2,0
28-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Xin'an,34.729,112.132,1,0
28-Aug-18,1,Strategic developments,Looting/property destruction,Henan,Luoyang,Luolong,34.619,112.464,2,0
28-Aug-18,2,Protests,Peaceful protest,Yunnan,Kunming,Guandu,25.015,102.744,1,0
